"material","disposition","warmMaterial","Air_DEQ_Air PM2.5_kg PM2.5 eq.","Energy_DEQ_Energy demand_MJ","Energy_WARM_Energy use_MJ","Eutrophication_DEQ_Eutrophication_kg N eq.","GHG's_DEQ_Global warming 100_kg CO2 eq.","GHG's_DEQ_Global warming 100(B)_kg CO2 eq.","GHG's_DEQ_Global warming 20_kg CO2 eq.","GHG's_DEQ_Global warming 20(B)_kg CO2 eq.","GHG's_WARM_Global warming_kg CO2 eq.","Toxicity_DEQ_Human toxicity_CTUh","Water_DEQ_Water consumption_kg"
"AcceptedOtherSteel","landfilling",NA,0.0119914413234302,656.292732961003,NA,0.0252949948371486,38.9759305368053,37.1846134164408,43.8386938229896,42.0440143081177,NA,2.14602009915236e-07,86.2137150802446
"AcceptedOtherSteel","production",NA,0.639905427020009,23128.5970832073,NA,0.259186387915907,2146.30735108125,2145.75657424882,2407.38843903584,2406.83178596636,NA,1.72828409312917e-06,9461.74517406485
"AcceptedOtherSteel","recycling",NA,-0.415644412448035,-12187.3836106732,NA,-0.107607040508772,-1481.32983331532,-1484.10397920108,-1684.20237057243,-1686.99985197196,NA,1.40470038594932e-06,-2724.64715461949
"Aluminum","landfilling","Aluminum Cans",0.0119914413234302,656.292732961003,283.043033402762,0.00969916737496192,38.9759305368053,37.1846134164408,43.8386938229896,42.0440143081177,20.254519141196,1.77891811573199e-07,86.2137150802446
"Aluminum","production","Aluminum Cans",1.97904072820622,74206.5157660646,94628.8425232376,0.508488898074607,4720.07229762618,4709.30953419703,5052.15103935865,5041.38749845423,4799.45272690493,2.87082599474494e-05,99423.8264067405
"Aluminum","recycling","Aluminum Cans",-1.0970852417757,-26808.7196492749,-161174.999697079,-0.180441678686496,-1854.47688832588,-1880.47731481494,-1946.30847900485,-1972.30922948837,-9127.37816210562,-2.13413229352886e-05,-68841.1369646058
"AsepticContainers","combustion",NA,-0.0365064544000059,-12076.4048115271,NA,-0.0440524019140383,122.261261597782,982.825920579188,24.8026653672394,885.386646793479,NA,-1.29031478615058e-07,-2644.25035334588
"AsepticContainers","landfilling",NA,0.0363373269283939,259.807708215092,NA,0.401351783299944,313.143218412287,481.187181282308,1126.68619388913,1271.73340158666,NA,2.21361826744543e-07,-301.439377771894
"AsepticContainers","production",NA,0.378153202198446,49755.4863535805,NA,0.587206643872864,1635.22943724562,368.197778351893,1970.51614592003,701.800023703288,NA,7.17096532275164e-06,13772.6687388999
"Cardboard","combustion","Corrugated Containers",-0.0105736194654945,-4968.67695260073,-6999.97594506479,-0.010240855122116,-218.044163096948,1024.54758347802,-246.435567959266,996.162767343407,-489.030302480749,-5.99245180579026e-08,-4204.82990057021
"Cardboard","landfilling","Corrugated Containers",0.0471689499553506,83.6724307567726,-194.565754177479,0.487708298140568,435.092117872754,678.67035849629,1608.29993242812,1818.65502544913,255.645572663017,2.26511267117146e-07,-473.822795907225
"Cardboard","production","Corrugated Containers",0.472262488661401,40533.5596713256,23549.3872730583,1.68379514384011,1234.50557986384,-596.378680027345,1524.53039382684,-310.301849734166,5575.20831608294,3.38095665356388e-06,9282.10403070244
"Cardboard","recycling","Corrugated Containers",-0.35777223678157,-32606.3822261443,-15934.7677521998,-1.37255280072238,-901.438711940187,721.227848591271,-1143.23338848742,482.925676041635,-3135.33690867899,-2.9006046814699e-06,-5280.99752582619
"Carpeting","combustion","Carpet",-0.0283427461949476,-12274.614055386,-7553.57336113764,-0.0562943983998656,1609.99543057965,1609.76528149008,1534.16199670532,1533.94676502857,1098.06721007512,-5.7014705180135e-08,-11553.6775107631
"Carpeting","landfilling","Carpet",0.0119914413234302,656.292732961003,283.043033402762,0.241070320880307,38.9759305368053,37.1846134164408,43.8386938229896,42.0440143081177,20.254519141196,2.15399353970057e-07,86.2137150802446
"Carpeting","production","Carpet",0.457243207197853,84159.7463971176,96078.361011376,0.891778082682113,3651.55627740442,3650.08849277201,4178.21889042424,4176.5053317055,3683.12693092599,0.000133165504519596,17850.6447749916
"Carpeting","recycling","Carpet",-0.0428201328765807,-19781.9042548133,-22646.0834434241,-0.100713026424679,-956.526849371491,-959.242762728825,-1091.59057702637,-1094.26363593254,-2381.63021791684,-1.18679478878448e-06,-2248.09190622614
"Electronics","landfilling","Mixed Electronics",0.031371632338805,832.876304702212,283.043033402762,0.547137537584746,83.5262886108262,85.613302973621,113.405620120787,114.82790312725,20.254519141196,7.29671798441323e-06,216.397761427033
"Electronics","production","Mixed Electronics",58.2038864357091,468130.371263122,NA,554.932701438097,31323.8826166278,31048.7588820679,37494.2490744171,37214.471512277,NA,0.00567532212799346,271442.116769667
"Electronics","recycling","Mixed Electronics",-1.42329441653016,-13408.5009766602,-12534.5398559446,-47.4229570929943,-947.236993961961,-946.895107108197,-1061.30188373568,-1061.16556956826,-789.099765380129,-0.000381057380387514,-8811.46346466323
"EPS","combustion",NA,-0.1060057686397,-30179.1791762696,NA,-0.130616666754766,1401.90744075001,1402.25190630955,1130.02811056296,1130.42515252695,NA,-3.26385472034547e-07,743.153675256064
"EPS","landfilling",NA,0.0119914413234302,656.292732961003,NA,0.241070320880307,38.9759305368053,37.1846134164408,43.8386938229896,42.0440143081177,NA,2.15399353970057e-07,86.2137150802446
"EPS","production",NA,0.199305006480536,81329.8960379225,NA,0.26267981522755,2618.3671650088,2620.36569066936,3139.54839886908,3141.12680270003,NA,2.65657040822111e-06,12604.0814198629
"EPS","recycling",NA,-0.0897917719897981,-55975.2905172963,NA,-0.079937345741397,-1596.91371648685,-1597.35401500066,-1984.05567245916,-1984.44552700311,NA,-1.36189546176273e-06,-6885.78874147356
"FoodWaste","anaerobicDigestion","Food Waste",0.12158164476491,-5592.49067097309,-1520.6442545023,0.307444850516307,140.216407284071,161.688678108795,507.429113854373,516.449604212939,-41.6670681020128,3.85096521726875e-05,1230.13522060335
"FoodWaste","combustion","Food Waste",0.00659400401213854,-574.113923301676,-2355.52221919687,0.0232181932133061,-2.57512923726807,564.786058886308,-1.04153258926685,566.31862874125,-134.261570651964,2.15767835474962e-08,-175.066211901372
"FoodWaste","composting","Food Waste",0.0276168323640281,-543.11278049383,616.1525872,0.0566137868360415,-68.6436663298041,403.066000880116,-26.5573200230891,445.155021176933,-176.01201959603,6.38547631917614e-07,158.511892828043
"FoodWaste","landfilling","Food Waste",0.033177874318049,319.65400412599,11.8202147065335,1.58400439335601,277.81182485644,423.684665876862,985.879848937362,1111.75753660403,542.179842989981,2.06769687491596e-07,-250.753838027165
"FoodWaste","production","Food Waste",1.98559321505636,39043.8618319711,15360.6025878392,16.3967932232144,1690.92293009312,307.510150894868,3019.53937621585,1600.06558471824,3659.74807954378,5.90618691163135e-05,132157.093270219
"Glass","landfilling","Glass",0.0119914413234302,656.292732961003,283.043033402762,0.00969916737496192,38.9759305368053,37.1846134164408,43.8386938229896,42.0440143081177,20.254519141196,1.77891811573199e-07,86.2137150802446
"Glass","production","Glass",1.22793075536052,15440.203876024,7284.70494015407,1.7814705726061,1012.25557204151,952.089975738485,1133.99340663427,1073.48001879083,530.820874316884,3.40945196840341e-05,6926.70334230858
"Glass","recycling","Glass",-0.0879984545572995,-1813.85228906314,-2242.42595765069,-0.0545758779759426,-125.112235775164,-119.101423632339,-99.6767410807016,-94.9057613875364,-276.09017645926,-1.95134383610324e-07,-619.862379864226
"Glass","recyclingPozzolan","Glass",-0.102001382560724,-3231.80146643655,NA,-0.0515053743516913,-738.193944659253,-737.971452748481,-758.92371250117,-758.66787747117,NA,-4.34108387920586e-07,-659.443727641716
"Glass","recyclingToFiberglass","Glass",-0.0641423019446495,-1257.58997658149,NA,-0.0206956530449461,-82.3766971176857,-76.4140476975681,-52.0370002431075,-47.315634116286,NA,-7.875985273632e-10,-424.538021441924
