"material","disposition","impactCategory","impactUnits","impactFactor","warmMaterial","ifSource","impactGroup"
"AcceptedOtherSteel","landfilling","Air PM2.5","kg PM2.5 eq.",0.0119914413234302,NA,"DEQ","Air"
"AcceptedOtherSteel","landfilling","Energy demand","MJ",656.292732961003,NA,"DEQ","Energy"
"AcceptedOtherSteel","landfilling","Eutrophication","kg N eq.",0.0252949948371486,NA,"DEQ","Eutrophication"
"AcceptedOtherSteel","landfilling","Global warming 100","kg CO2 eq.",38.9759305368053,NA,"DEQ","GHG's"
"AcceptedOtherSteel","landfilling","Global warming 100(B)","kg CO2 eq.",37.1846134164408,NA,"DEQ","GHG's"
"AcceptedOtherSteel","landfilling","Global warming 20","kg CO2 eq.",43.8386938229896,NA,"DEQ","GHG's"
"AcceptedOtherSteel","landfilling","Global warming 20(B)","kg CO2 eq.",42.0440143081177,NA,"DEQ","GHG's"
"AcceptedOtherSteel","landfilling","Human toxicity","CTUh",2.14602009915236e-07,NA,"DEQ","Toxicity"
"AcceptedOtherSteel","landfilling","Water consumption","kg",86.2137150802446,NA,"DEQ","Water"
"AcceptedOtherSteel","production","Air PM2.5","kg PM2.5 eq.",0.630047199243387,NA,"DEQ","Air"
"AcceptedOtherSteel","production","Energy demand","MJ",22288.8886092479,NA,"DEQ","Energy"
"AcceptedOtherSteel","production","Eutrophication","kg N eq.",0.23821767873877,NA,"DEQ","Eutrophication"
"AcceptedOtherSteel","production","Global warming 100","kg CO2 eq.",2089.47666165299,NA,"DEQ","GHG's"
"AcceptedOtherSteel","production","Global warming 100(B)","kg CO2 eq.",2089.16003147447,NA,"DEQ","GHG's"
"AcceptedOtherSteel","production","Global warming 20","kg CO2 eq.",2348.11359527567,NA,"DEQ","GHG's"
"AcceptedOtherSteel","production","Global warming 20(B)","kg CO2 eq.",2347.79186633537,NA,"DEQ","GHG's"
"AcceptedOtherSteel","production","Human toxicity","CTUh",1.69351393938881e-06,NA,"DEQ","Toxicity"
"AcceptedOtherSteel","production","Water consumption","kg",9311.26792381209,NA,"DEQ","Water"
"AcceptedOtherSteel","recycling","Air PM2.5","kg PM2.5 eq.",-0.421642715235861,NA,"DEQ","Air"
"AcceptedOtherSteel","recycling","Energy demand","MJ",-12537.8570481591,NA,"DEQ","Energy"
"AcceptedOtherSteel","recycling","Eutrophication","kg N eq.",-0.119075017366134,NA,"DEQ","Eutrophication"
"AcceptedOtherSteel","recycling","Global warming 100","kg CO2 eq.",-1505.01650846214,NA,"DEQ","GHG's"
"AcceptedOtherSteel","recycling","Global warming 100(B)","kg CO2 eq.",-1507.72617807609,NA,"DEQ","GHG's"
"AcceptedOtherSteel","recycling","Global warming 20","kg CO2 eq.",-1708.92757462015,NA,"DEQ","GHG's"
"AcceptedOtherSteel","recycling","Global warming 20(B)","kg CO2 eq.",-1711.66025575341,NA,"DEQ","GHG's"
"AcceptedOtherSteel","recycling","Human toxicity","CTUh",1.39018846034537e-06,NA,"DEQ","Toxicity"
"AcceptedOtherSteel","recycling","Water consumption","kg",-2787.31032934028,NA,"DEQ","Water"
"Aluminum","anaerobicDigestion","Energy use","MJ",NA,"Aluminum Cans","WARM","Energy"
"Aluminum","anaerobicDigestion","Global warming","kg CO2 eq.",NA,"Aluminum Cans","WARM","GHG's"
"Aluminum","combustion","Energy use","MJ",332.953562629093,"Aluminum Cans","WARM","Energy"
"Aluminum","combustion","Global warming","kg CO2 eq.",34.4322205450257,"Aluminum Cans","WARM","GHG's"
"Aluminum","composting","Energy use","MJ",NA,"Aluminum Cans","WARM","Energy"
"Aluminum","composting","Global warming","kg CO2 eq.",NA,"Aluminum Cans","WARM","GHG's"
"Aluminum","landfilling","Air PM2.5","kg PM2.5 eq.",0.0119914413234302,"Aluminum Cans","DEQ","Air"
"Aluminum","landfilling","Energy demand","MJ",656.292732961003,"Aluminum Cans","DEQ","Energy"
"Aluminum","landfilling","Energy use","MJ",283.043033402762,"Aluminum Cans","WARM","Energy"
"Aluminum","landfilling","Eutrophication","kg N eq.",0.00969916737496192,"Aluminum Cans","DEQ","Eutrophication"
"Aluminum","landfilling","Global warming 100","kg CO2 eq.",38.9759305368053,"Aluminum Cans","DEQ","GHG's"
"Aluminum","landfilling","Global warming 100(B)","kg CO2 eq.",37.1846134164408,"Aluminum Cans","DEQ","GHG's"
"Aluminum","landfilling","Global warming 20","kg CO2 eq.",43.8386938229896,"Aluminum Cans","DEQ","GHG's"
"Aluminum","landfilling","Global warming 20(B)","kg CO2 eq.",42.0440143081177,"Aluminum Cans","DEQ","GHG's"
"Aluminum","landfilling","Global warming","kg CO2 eq.",20.254519141196,"Aluminum Cans","WARM","GHG's"
"Aluminum","landfilling","Human toxicity","CTUh",1.77891811573199e-07,"Aluminum Cans","DEQ","Toxicity"
"Aluminum","landfilling","Water consumption","kg",86.2137150802446,"Aluminum Cans","DEQ","Water"
"Aluminum","production","Air PM2.5","kg PM2.5 eq.",1.97904072820622,"Aluminum Cans","DEQ","Air"
"Aluminum","production","Energy demand","MJ",74206.5157660646,"Aluminum Cans","DEQ","Energy"
"Aluminum","production","Energy use","MJ",94628.8425232376,"Aluminum Cans","WARM","Energy"
"Aluminum","production","Eutrophication","kg N eq.",0.508488898074607,"Aluminum Cans","DEQ","Eutrophication"
"Aluminum","production","Global warming 100","kg CO2 eq.",4720.07229762618,"Aluminum Cans","DEQ","GHG's"
"Aluminum","production","Global warming 100(B)","kg CO2 eq.",4709.30953419703,"Aluminum Cans","DEQ","GHG's"
"Aluminum","production","Global warming 20","kg CO2 eq.",5052.15103935865,"Aluminum Cans","DEQ","GHG's"
"Aluminum","production","Global warming 20(B)","kg CO2 eq.",5041.38749845423,"Aluminum Cans","DEQ","GHG's"
"Aluminum","production","Global warming","kg CO2 eq.",4799.45272690493,"Aluminum Cans","WARM","GHG's"
"Aluminum","production","Human toxicity","CTUh",2.87082599474494e-05,"Aluminum Cans","DEQ","Toxicity"
"Aluminum","production","Water consumption","kg",99423.8264067405,"Aluminum Cans","DEQ","Water"
"Aluminum","recycling","Air PM2.5","kg PM2.5 eq.",-1.09824091637233,"Aluminum Cans","DEQ","Air"
"Aluminum","recycling","Energy demand","MJ",-26555.7226375276,"Aluminum Cans","DEQ","Energy"
"Aluminum","recycling","Energy use","MJ",-161174.999697079,"Aluminum Cans","WARM","Energy"
"Aluminum","recycling","Eutrophication","kg N eq.",-0.179895075168495,"Aluminum Cans","DEQ","Eutrophication"
"Aluminum","recycling","Global warming 100","kg CO2 eq.",-1837.27667905289,"Aluminum Cans","DEQ","GHG's"
"Aluminum","recycling","Global warming 100(B)","kg CO2 eq.",-1863.42191735065,"Aluminum Cans","DEQ","GHG's"
"Aluminum","recycling","Global warming 20","kg CO2 eq.",-1928.40744418001,"Aluminum Cans","DEQ","GHG's"
"Aluminum","recycling","Global warming 20(B)","kg CO2 eq.",-1954.55324184547,"Aluminum Cans","DEQ","GHG's"
"Aluminum","recycling","Global warming","kg CO2 eq.",-9127.37816210562,"Aluminum Cans","WARM","GHG's"
"Aluminum","recycling","Human toxicity","CTUh",-2.13308450268929e-05,"Aluminum Cans","DEQ","Toxicity"
"Aluminum","recycling","Water consumption","kg",-68795.4816509529,"Aluminum Cans","DEQ","Water"
"AsepticContainers","combustion","Air PM2.5","kg PM2.5 eq.",-0.0365064544000059,NA,"DEQ","Air"
"AsepticContainers","combustion","Energy demand","MJ",-12076.4048115271,NA,"DEQ","Energy"
"AsepticContainers","combustion","Eutrophication","kg N eq.",-0.0440524019140383,NA,"DEQ","Eutrophication"
"AsepticContainers","combustion","Global warming 100","kg CO2 eq.",122.261261597782,NA,"DEQ","GHG's"
"AsepticContainers","combustion","Global warming 100(B)","kg CO2 eq.",982.825920579188,NA,"DEQ","GHG's"
"AsepticContainers","combustion","Global warming 20","kg CO2 eq.",24.8026653672394,NA,"DEQ","GHG's"
"AsepticContainers","combustion","Global warming 20(B)","kg CO2 eq.",885.386646793479,NA,"DEQ","GHG's"
