"year","wasteshed","material","LCstage","disposition","umbDisp","tons"
2018,"Baker","Aluminum","endOfLife","landfilling","Disposal",47.4129670440354
2018,"Baker","Aluminum","endOfLife","recycling","Recovery",69.305
2018,"Baker","Aluminum","endOfLifeTransport","landfilling","Disposal",47.4129670440354
2018,"Baker","Aluminum","endOfLifeTransport","recycling","Recovery",69.305
2018,"Baker","Aluminum","production","production","Production",116.717967044035
2018,"Baker","Cardboard","endOfLife","combustion",NA,0
2018,"Baker","Cardboard","endOfLife","landfilling","Disposal",414.867873691867
2018,"Baker","Cardboard","endOfLife","recycling","Recovery",714.182
2018,"Baker","Cardboard","endOfLifeTransport","combustion",NA,0
2018,"Baker","Cardboard","endOfLifeTransport","landfilling","Disposal",414.867873691867
2018,"Baker","Cardboard","endOfLifeTransport","recycling","Recovery",714.182
2018,"Baker","Cardboard","production","production","Production",1129.04987369187
2018,"Baker","Carpeting","endOfLife","combustion",NA,0
2018,"Baker","Carpeting","endOfLife","landfilling","Disposal",306.891914994687
2018,"Baker","Carpeting","endOfLife","recycling",NA,0
2018,"Baker","Carpeting","endOfLifeTransport","combustion",NA,0
2018,"Baker","Carpeting","endOfLifeTransport","landfilling","Disposal",306.891914994687
2018,"Baker","Carpeting","endOfLifeTransport","recycling",NA,0
2018,"Baker","Carpeting","production","production","Production",306.891914994687
2018,"Baker","FoodWaste","endOfLife","anaerobicDigestion",NA,0
2018,"Baker","FoodWaste","endOfLife","combustion",NA,0
2018,"Baker","FoodWaste","endOfLife","composting",NA,0
2018,"Baker","FoodWaste","endOfLife","landfilling","Disposal",1915.9758643684
2018,"Baker","FoodWaste","endOfLifeTransport","anaerobicDigestion",NA,0
2018,"Baker","FoodWaste","endOfLifeTransport","combustion",NA,0
2018,"Baker","FoodWaste","endOfLifeTransport","composting",NA,0
2018,"Baker","FoodWaste","endOfLifeTransport","landfilling","Disposal",1915.9758643684
2018,"Baker","FoodWaste","production","production","Production",1915.9758643684
2018,"Baker","Glass","endOfLife","landfilling","Disposal",199.809740157908
2018,"Baker","Glass","endOfLife","recycling","Recovery",245.499
2018,"Baker","Glass","endOfLife","recyclingPozzolan",NA,0
2018,"Baker","Glass","endOfLife","recyclingToFiberglass",NA,0
2018,"Baker","Glass","endOfLife","reuseContainer",NA,0
2018,"Baker","Glass","endOfLife","useAsAggregate",NA,0
2018,"Baker","Glass","endOfLifeTransport","landfilling","Disposal",199.809740157908
2018,"Baker","Glass","endOfLifeTransport","recycling","Recovery",245.499
2018,"Baker","Glass","endOfLifeTransport","recyclingPozzolan",NA,0
2018,"Baker","Glass","endOfLifeTransport","recyclingToFiberglass",NA,0
2018,"Baker","Glass","endOfLifeTransport","reuseContainer",NA,0
2018,"Baker","Glass","endOfLifeTransport","useAsAggregate",NA,0
2018,"Baker","Glass","production","production","Production",445.308740157908
2018,"Baker","PaperFiber","endOfLife","combustion",NA,0
2018,"Baker","PaperFiber","endOfLife","landfilling","Disposal",1588.43035797019
2018,"Baker","PaperFiber","endOfLife","recycling","Recovery",120.839
2018,"Baker","PaperFiber","endOfLifeTransport","combustion",NA,0
2018,"Baker","PaperFiber","endOfLifeTransport","landfilling","Disposal",1588.43035797019
2018,"Baker","PaperFiber","endOfLifeTransport","recycling","Recovery",120.839
2018,"Baker","PaperFiber","production","production","Production",1709.26935797019
2018,"Baker","PlasticFilm","endOfLife","combustion",NA,0
2018,"Baker","PlasticFilm","endOfLife","landfilling","Disposal",617.544086310472
2018,"Baker","PlasticFilm","endOfLife","recycling","Recovery",14.551
2018,"Baker","PlasticFilm","endOfLifeTransport","combustion",NA,0
2018,"Baker","PlasticFilm","endOfLifeTransport","landfilling","Disposal",617.544086310472
2018,"Baker","PlasticFilm","endOfLifeTransport","recycling","Recovery",14.551
2018,"Baker","PlasticFilm","production","production","Production",632.095086310472
2018,"Baker","ScrapMetal","endOfLife","landfilling","Disposal",500.069160879023
2018,"Baker","ScrapMetal","endOfLife","recycling","Recovery",199.536
2018,"Baker","ScrapMetal","endOfLifeTransport","landfilling","Disposal",500.069160879023
2018,"Baker","ScrapMetal","endOfLifeTransport","recycling","Recovery",199.536
2018,"Baker","ScrapMetal","production","production","Production",699.605160879023
2018,"Baker","TinnedCan","endOfLife","landfilling","Disposal",81.9653684845068
2018,"Baker","TinnedCan","endOfLife","recycling","Recovery",1.7
2018,"Baker","TinnedCan","endOfLifeTransport","landfilling","Disposal",81.9653684845068
2018,"Baker","TinnedCan","endOfLifeTransport","recycling","Recovery",1.7
2018,"Baker","TinnedCan","production","production","Production",83.6653684845068
2018,"Benton","Aluminum","endOfLife","landfilling","Disposal",226.696567428565
2018,"Benton","Aluminum","endOfLife","recycling","Recovery",431.208
2018,"Benton","Aluminum","endOfLifeTransport","landfilling","Disposal",226.696567428565
2018,"Benton","Aluminum","endOfLifeTransport","recycling","Recovery",431.208
2018,"Benton","Aluminum","production","production","Production",657.905486021796
2018,"Benton","Cardboard","endOfLife","combustion","Disposal",0.00803777625316263
2018,"Benton","Cardboard","endOfLife","landfilling","Disposal",1983.61606045419
2018,"Benton","Cardboard","endOfLife","recycling","Recovery",7413.596
2018,"Benton","Cardboard","endOfLifeTransport","combustion","Disposal",0.00803777625316263
2018,"Benton","Cardboard","endOfLifeTransport","landfilling","Disposal",1983.61606045419
2018,"Benton","Cardboard","endOfLifeTransport","recycling","Recovery",7413.596
2018,"Benton","Cardboard","production","production","Production",9397.22009823044
2018,"Benton","Carpeting","endOfLife","combustion","Disposal",0.00594581721809581
2018,"Benton","Carpeting","endOfLife","landfilling","Disposal",1467.34844997697
2018,"Benton","Carpeting","endOfLife","recycling",NA,0
2018,"Benton","Carpeting","endOfLifeTransport","combustion","Disposal",0.00594581721809581
2018,"Benton","Carpeting","endOfLifeTransport","landfilling","Disposal",1467.34844997697
2018,"Benton","Carpeting","endOfLifeTransport","recycling",NA,0
2018,"Benton","Carpeting","production","production","Production",1467.35439579419
2018,"Benton","FoodWaste","endOfLife","anaerobicDigestion",NA,0
2018,"Benton","FoodWaste","endOfLife","combustion","Disposal",0.0371206986147381
2018,"Benton","FoodWaste","endOfLife","composting","Recovery",1019.904
2018,"Benton","FoodWaste","endOfLife","landfilling","Disposal",9160.89371342001
2018,"Benton","FoodWaste","endOfLifeTransport","anaerobicDigestion",NA,0
2018,"Benton","FoodWaste","endOfLifeTransport","combustion","Disposal",0.0371206986147381
2018,"Benton","FoodWaste","endOfLifeTransport","composting","Recovery",1019.904
2018,"Benton","FoodWaste","endOfLifeTransport","landfilling","Disposal",9160.89371342001
2018,"Benton","FoodWaste","production","production","Production",10180.8348341186
2018,"Benton","Glass","endOfLife","landfilling","Disposal",955.354306144181
2018,"Benton","Glass","endOfLife","recycling","Recovery",2437.844
2018,"Benton","Glass","endOfLife","recyclingPozzolan",NA,0
2018,"Benton","Glass","endOfLife","recyclingToFiberglass",NA,0
2018,"Benton","Glass","endOfLife","reuseContainer",NA,0
