"material","LCstage","disposition","impactCategory","impactUnits","impactFactor","corporateSource","impactFactorSetId"
"AcceptedOtherSteel","endOfLife","incinerationNoER","GTP100 excl biogenic carbon, incl Land Use Change, no norm/weight","kg CO2 eq.",78.0190943153376,"IPCC AR5","emissionFactorsWICplusSOAR_20200327.xlsx"
"AcceptedOtherSteel","endOfLife","incinerationNoER","GTP20 excl biogenic carbon, incl Land Use Change, no norm/weight","kg CO2 eq.",96.2540631884001,"IPCC AR5","emissionFactorsWICplusSOAR_20200327.xlsx"
"AcceptedOtherSteel","endOfLife","incinerationNoER","GTP50 excl biogenic carbon, incl Land Use Change, no norm/weight","kg CO2 eq.",80.7030615628932,"IPCC AR5","emissionFactorsWICplusSOAR_20200327.xlsx"
"AcceptedOtherSteel","endOfLife","incinerationNoER","GWP100 excl biogenic carbon, incl Land Use Change, no norm/weight","kg CO2 eq.",85.0897439010269,"IPCC AR5","emissionFactorsWICplusSOAR_20200327.xlsx"
"AcceptedOtherSteel","endOfLife","incinerationNoER","GWP20 excl biogenic carbon, incl Land Use Change, no norm/weight","kg CO2 eq.",101.23229602042,"IPCC AR5","emissionFactorsWICplusSOAR_20200327.xlsx"
"AcceptedOtherSteel","endOfLife","incinerationNoER","GTP100 excl biogenic carbon","kg CO2 eq.",78.0750288591328,"IPCC AR5","emissionFactorsWICplusSOAR_20200327.xlsx"
"AcceptedOtherSteel","endOfLife","incinerationNoER","GTP20 excl biogenic carbon","kg CO2 eq.",96.3099977321953,"IPCC AR5","emissionFactorsWICplusSOAR_20200327.xlsx"
"AcceptedOtherSteel","endOfLife","incinerationNoER","GTP50 excl biogenic carbon","kg CO2 eq.",80.7589961066885,"IPCC AR5","emissionFactorsWICplusSOAR_20200327.xlsx"
"AcceptedOtherSteel","endOfLife","incinerationNoER","GWP100 excl biogenic carbon","kg CO2 eq.",85.1456784448221,"IPCC AR5","emissionFactorsWICplusSOAR_20200327.xlsx"
"AcceptedOtherSteel","endOfLife","incinerationNoER","GWP20 excl biogenic carbon","kg CO2 eq.",101.288230564215,"IPCC AR5","emissionFactorsWICplusSOAR_20200327.xlsx"
"AcceptedOtherSteel","endOfLife","incinerationNoER","GTP100 incl biogenic carbon, incl Land Use Change, no norm/weight","kg CO2 eq.",77.4922672855621,"IPCC AR5","emissionFactorsWICplusSOAR_20200327.xlsx"
"AcceptedOtherSteel","endOfLife","incinerationNoER","GTP20 incl biogenic carbon, incl Land Use Change, no norm/weight","kg CO2 eq.",95.7261288876745,"IPCC AR5","emissionFactorsWICplusSOAR_20200327.xlsx"
"AcceptedOtherSteel","endOfLife","incinerationNoER","GTP50 incl biogenic carbon, incl Land Use Change, no norm/weight","kg CO2 eq.",80.1751272621677,"IPCC AR5","emissionFactorsWICplusSOAR_20200327.xlsx"
"AcceptedOtherSteel","endOfLife","incinerationNoER","GWP100 incl biogenic carbon, incl Land Use Change, no norm/weight","kg CO2 eq.",84.5629168712514,"IPCC AR5","emissionFactorsWICplusSOAR_20200327.xlsx"
