"material","disposition"
"Aerosol Cans","combustion"
"Aerosol Cans","landfilling"
"Aluminum","combustion"
"Aluminum","landfilling"
"Animal Waste/grease","combustion"
"Animal Waste/grease","landfilling"
"Cardboard/Kraft","combustion"
"Cardboard/Kraft","landfilling"
"Carpeting-used","combustion"
"Carpeting-used","landfilling"
"Composite Plastic","combustion"
"Composite Plastic","landfilling"
"Diesel","combustion"
"Diesel","landfilling"
"DisposalOnly","combustion"
"DisposalOnly","landfilling"
"Electronics","combustion"
"Electronics","landfilling"
"Fluorescent Lamps","combustion"
"Fluorescent Lamps","landfilling"
"FoodWaste","combustion"
"FoodWaste","landfilling"
"Glass Containers","combustion"
"Glass Containers","landfilling"
"Glass Other","combustion"
"Glass Other","landfilling"
"Gypsum Wallboard","combustion"
"Gypsum Wallboard","landfilling"
"Household Haz Waste","combustion"
"Household Haz Waste","landfilling"
"Lead Acid Batteries","combustion"
"Lead Acid Batteries","landfilling"
"Mixed Batteries","combustion"
"Mixed Batteries","landfilling"
"Paint","combustion"
"Paint","landfilling"
"Paper Fiber","combustion"
"Paper Fiber","landfilling"
"Plastic Film","combustion"
"Plastic Film","landfilling"
"Plastic Other","combustion"
"Plastic Other","landfilling"
"Rigid Plastic Cont.","combustion"
"Rigid Plastic Cont.","landfilling"
"Roofing - Asphalt","combustion"
"Roofing - Asphalt","landfilling"
"Scrap Metal - Other","combustion"
"Scrap Metal - Other","landfilling"
"Solvents","combustion"
"Solvents","landfilling"
"Textiles","combustion"
"Textiles","landfilling"
"Tinned Cans","combustion"
"Tinned Cans","landfilling"
"Tires","combustion"
"Tires","landfilling"
"Used Motor Oil","combustion"
"Used Motor Oil","landfilling"
"Wood Waste","combustion"
"Wood Waste","landfilling"
"Yard Debris","combustion"
"Yard Debris","landfilling"
NA,"combustion"
NA,"landfilling"
