"impactCategory","impactUnits","year","wasteshed","material","magnitude","pctOfTotal","datatype"
"Air PM2.5","kg PM2.5 eq.",2018,"Baker","Aluminum",297.698645001195,0.0102362927943124,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Baker","Cardboard",573.398650048512,0.0197161679044138,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Baker","Carpeting",208.125197738698,0.00715633241098201,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Baker","Electronics",12757.1355272934,0.438650886279903,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Baker","FoodWaste",5176.38601186383,0.177988726934274,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Baker","Glass",603.27532266504,0.0207434697539784,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Baker","PaperFiber",7982.49527169039,0.274476085807878,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Baker","PlasticFilm",250.200973529587,0.00860309734517125,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Baker","RigidPlastic",91.6081726973876,0.00314992390401586,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Baker","ScrapMetal",1102.61073956825,0.0379129920740105,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Baker","TinnedCan",87.9356203195828,0.00302364411714781,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Baker","YardDebris",-48.2079828332302,-0.00165761932608779,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Benton","Aluminum",1569.55825323011,0.0102400423670473,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Benton","Cardboard",3505.24434866346,0.0228687597693799,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Benton","Carpeting",995.116904081609,0.00649229758563583,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Benton","Electronics",60085.086577752,0.392004457889772,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Benton","FoodWaste",27343.8052417451,0.17839524183032,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Benton","Glass",4528.62494913487,0.0295454541098895,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Benton","PaperFiber",46875.9200601793,0.305825799343674,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Benton","PlasticFilm",1205.84139175959,0.00786709694536401,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Benton","RigidPlastic",493.460719703544,0.00321941454918216,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Benton","ScrapMetal",7217.94638860874,0.0470910058102785,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Benton","TinnedCan",507.323171898731,0.00330985534518177,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Benton","YardDebris",-1051.38900717418,-0.00685942554572584,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Clatsop","Aluminum",998.5161038507,0.0119995640140735,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Clatsop","Cardboard",1940.57899382362,0.0233207073686161,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Clatsop","Carpeting",530.392174218461,0.00637393310188382,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Clatsop","Electronics",33329.2206168075,0.40053046194071,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Clatsop","FoodWaste",13198.0907247003,0.158606690371686,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Clatsop","Glass",2684.6537466993,0.0322625487610135,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Clatsop","PaperFiber",23013.7280598303,0.276565096938791,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Clatsop","PlasticFilm",637.146924505043,0.00765684727315271,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Clatsop","RigidPlastic",259.145911329741,0.00311425918920543,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Clatsop","ScrapMetal",6290.89582532758,0.0756001899927024,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Clatsop","TinnedCan",253.248873923342,0.00304339215203038,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Clatsop","YardDebris",77.0806630011803,0.000926308896133923,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Columbia","Aluminum",790.539321045521,0.00999113235065377,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Columbia","Cardboard",1594.94185399417,0.0201574731713253,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Columbia","Carpeting",501.484392919053,0.00633794778837194,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Columbia","Electronics",32011.3985298463,0.40457205723585,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Columbia","FoodWaste",12484.7318573607,0.157786722340826,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Columbia","Glass",1469.86069932972,0.0185766506397246,"impact"
